id,subject,details,sourceId,ComArtId,ComSourceId,diseaseId,modalityId,ComPathID,ComCatID,ComUserID,level,ComPathReg,isClinical,isVivo,isVitro,enteredDate,enteredBy
2,Low Dose Naltrexone beneficial for active Crohn's disease,"LDN works very well in active Crohn's disease.

Dose 4.5mg each night.

Minimal side effects limited to insomnia at the beginning.",AR00009,AR00009,0,DS62,MO1,,CT8,moshe,2,0,TRUE,FALSE,FALSE,20070218,moshe
18,Sabal serrulata (saw palmetto) homeopathic effects prostate cancer,"Homeopathic, Sabal serrulata reduced proliferation of PC in vitro and in vivo.",AR00010,AR00010,0,DS25,MO61,,CT2,Kathy,1,0,FALSE,TRUE,TRUE,20070301,kathy
24,Abarelix safer for Prostate Cancer,"Abarelix, the GnRH antagonist is safer than LHRH analogues because it does not cause testosterone flare.",AR00013,AR00013,0,DS25,MO63,,CT2,Kathy,0,0,TRUE,FALSE,FALSE,20070301,kathy
30,Aminophenols active against various cancer cell lines,"Five novel aminophenols were tested in vitro in breast, prostate and leukemia cell lines.  P-dodecylaminophenol was the most active.",AR00016,AR00016,0,DS85,MO60,,CT2,Kathy,1,0,FALSE,FALSE,TRUE,20070301,kathy
31,Aminophenols active against various cancer cell lines,"Five novel aminophenols were tested in vitro in breast, prostate and leukemia cell lines.  P-dodecylaminophenol was the most active.",AR00016,AR00016,0,DS25,MO60,,CT2,Kathy,1,0,FALSE,FALSE,TRUE,20070301,kathy
33,Aminophenols active against various cancer cell lines,"Five novel aminophenols were tested in vitro in breast, prostate and leukemia cell lines.  P-dodecylaminophenol was the most active.",AR00016,AR00016,0,DS91,MO60,,CT12,Kathy,1,0,FALSE,FALSE,TRUE,20070301,kathy
12,Celecoxib and Curcumin for Colorectal Cancer,Curcumin augments celecoxib which may allow for lower doses of the drug to be used as it has cardiotoxic side effects.,AR00026,AR00026,0,DS3,MO142,,CT2,Kathy,1,0,FALSE,TRUE,FALSE,20070301,kathy
13,Celecoxib and Curcumin for Colorectal Cancer,Curcumin augments celecoxib which may allow for lower doses of the drug to be used as it has cardiotoxic side effects.,AR00026,AR00026,0,DS3,MO69,,CT2,Kathy,1,0,FALSE,TRUE,FALSE,20070301,kathy
34,Genestein enhances irradiation for prostate cancer,Genestein enhanced XRT in inhibiting PC tumor growth and increased control of metastases.  Treatment with genestein alone cause increased metastases to lymph nodes.,AR00031,AR00031,0,DS25,MO72,,CT2,Kathy,1,0,FALSE,TRUE,TRUE,20070301,kathy
17,Genistein reduces metastatic disease in breast cancer model,"Mice with BC had their tumors surgically removed, then were fed soy-free diets vs. genistien supplemented diet.  After 5 weeks, genistein was found to decrease the percent of metastatic burden by 10-fold.",AR00032,AR00032,0,DS85,MO72,,CT2,Kathy,2,0,FALSE,TRUE,FALSE,20070301,kathy
15,Cisplatin potentiated by genistein in pancreatic cancer,"NF-kappaB is responsible for drug resistance in pancreatic cells. 25 mM genistein and 0.5 mM cisplatin resulted in significantly greater growth inhibition and more apoptosis compared with either agent alone in vitro.
",AR00034,AR00034,0,DS20,MO16,,CT2,Kathy,0,0,FALSE,TRUE,TRUE,20070301,kathy
42,Cimetidine effective in colorectal cancer with Lewis antigens X and A.,64 patients post op for resection of colorectal cancer received 800mg cimetidine plus 200mg 5FU for one year.  Ten year survival was 84.6% in cimetidine treated group vs. 49.8%.  Further analysis showed tumors expressing Lewis antigens X and A showed the ,AR00036,AR00036,0,DS3,MO76,,CT2,kathy,2,0,TRUE,FALSE,FALSE,20070306,kathy
43,Photodynamic therapy of brain tumors,Retrospective analysis of brain tumor patients treated post surgical resection with photodynamic therapy concluded that the procedure was safe.,AR00037,AR00037,0,DS13,MO77,,CT2,Kathy,0,0,FALSE,FALSE,FALSE,20070306,kathy
60,Green Tea polyphenols and Cox-2 inhibitor act synergistically in prostate cancer,EGCG and celecoxib 5mg/kg i.p. daily 5 days/week together in vitro and in vivo inhibited prostate tumor cell growth and induced apoptosis better than when each was used alone.,AR00068,AR00068,0,DS25,MO142,,CT2,Kathy,1,0,FALSE,TRUE,TRUE,20070311,kathy
61,Green Tea polyphenols and Cox-2 inhibitor act synergistically in prostate cancer,EGCG and celecoxib 5mg/kg i.p. daily 5 days/week together in vitro and in vivo inhibited prostate tumor cell growth and induced apoptosis better than when each was used alone.,AR00068,AR00068,0,DS25,MO83,,CT2,Kathy,1,0,FALSE,TRUE,TRUE,20070311,kathy
62,Reduction in cancer mortality with Vit D,1000 IU Vit D/day is correlated with a 50% reduction in colon cancer incidence and may also affect 17 other types of cancers.,AR00069,AR00069,0,DS3,MO59,,CT2,Kathy,1,0,FALSE,FALSE,FALSE,20070311,kathy
63,Optimal vitamin d status for colorectal cancer prevention,Daily intake of 1000-2000 IU/day of vitamin D(3) could reduce the incidence of colorectalcancer with minimal risk.,AR00070,AR00070,0,DS3,MO59,,CT2,Kathy,0,0,FALSE,FALSE,FALSE,20070311,kathy
64,Vitamin D levels predict survival in early stage NSCLC,"Vitamin D may be associated with improved survival of patients with early-stage NSCLC, particularly among stage IB-IIB patients.",AR00071,AR00071,0,DS12,MO59,,CT2,Kathy,1,0,TRUE,FALSE,FALSE,20070311,kathy
65,Clinical trials using chemopreventive vitamin D analogs in breast cancer,"Review article about use of vitamin D and its analogs in the treatment or chemoprevention of breast cancer.
",AR00072,AR00072,0,DS85,MO59,,CT2,Kathy,1,0,TRUE,FALSE,FALSE,20070311,kathy
66,Clinical trials involving vitamin D analogs in prostate cancer,Review article about the use of vitamin D and its analogs in the treatment or chemoprevention of PC.,AR00073,AR00073,0,DS25,MO59,,CT2,Kathy,1,0,TRUE,FALSE,FALSE,20070311,kathy
2257,Calcitriol/taxotere good for PC,"37 PC pts rec'd oral calcitriol (0.5 micro g/kg) on D1 followed by docetaxel (36 mg/m(2)) on D2, qwk x 6 wks of an 8-wk cycle. 30/37 had PSA response. 
22pts:> 75% reduction in PSA.
8/15 pts: PR
TTP:11.4 mos, med survival 19.5 mos, OS 89% 1 yr
",AR00074,AR00074,0,DS25,MO66,,,Kathy,2,0,TRUE,FALSE,FALSE,20080909,kathy
70,Seocalcitol (EB1089)active against bone mets in breast cancer,"EB1089-treated mice with breast ca. Bone mets decreased, OS increased.",AR00083,AR00083,0,DS85,MO59,,CT2,Kathy,1,0,FALSE,FALSE,FALSE,20070312,kathy
71,Seocalcitol in pancreatic cancer,"36 pts with advanced pancreatic ca received treatment with seocalcitol po QD, No objective responses were observed.
",AR00084,AR00084,0,DS20,MO59,,CT2,Kathy,-2,0,TRUE,FALSE,FALSE,20070313,kathy
72,Vitamin D in advanced prostate cancer,"26 pts with advanced, androgen independent PC received 1alpha-OH-D(2) at 12.5 micro g p.o. QD. Six evaluable patients experienced stable disease for >6 months.",AR00085,AR00085,0,DS25,MO59,,CT2,Kathy,1,0,TRUE,FALSE,FALSE,20070313,kathy
82,Short-term safety evaluation of processed calcium montmorillonite clay (NovaSil) in humans,"Phase 1 trial of 1.5 g and 3g daily of NovaSil clay in humans.

Mild GI side effects in very low percentage of subjects.

No toxicities or changes in electrolyte and Vit A & Vit E status.  vitamin",AR00091,AR00091,0,DS93,MO87,,CT13,Moshe,0,0,TRUE,FALSE,FALSE,20070313,moshe
127,Betulinic acid and chemo for melanoma,The addition of BA to VCR augmented suppression of  experimental lung metastasis of melanoma cells in C57BL/6 mice.,AR00102,AR00102,0,DS96,MO91,,CT2,Kathy,1,0,FALSE,TRUE,FALSE,20070318,kathy
133,Betulinic acid effective in glioblastoma in vitro,21 patients s/p resection of GBM were tested in vitro for cell death. Betulinic acid had greater effect compared to XRT and cisplatin.,AR00105,AR00105,0,DS13,MO91,,CT2,Kathy,1,0,FALSE,FALSE,TRUE,20070318,kathy
141,Sulforaphane in BC,"Sulforaphane, or its precursor, glucoraphanin, inhibits mammary carcinogenesis in vivo. Following oral dosing of broccoli sprouts metabolites were readily measurable in human breast tissue.",AR00114,AR00114,0,DS85,MO94,,CT2,Kathy,-1,0,FALSE,TRUE,FALSE,20070318,kathy
155,Addition of NSAIDs and hyperthermia potentiates effect of chemotherapy,"Ovarian ca cells inhibited best by combination of NSAID,  cisplatin, hyperthermia. NSAIDs enhance effect of docetaxel, but not paclitaxel. Hyperthermia did not enhance taxanes.",AR00125,AR00125,0,DS15,MO96,,CT2,Kathy,1,0,FALSE,FALSE,TRUE,20070320,kathy
156,Addition of NSAIDs and hyperthermia potentiates effect of chemotherapy,"Ovarian ca cells inhibited best by combination of NSAID,  cisplatin, hyperthermia. NSAIDs enhance effect of docetaxel, but not paclitaxel. Hyperthermia did not enhance taxanes.",AR00125,AR00125,0,DS15,MO97,,CT2,Kathy,1,0,FALSE,FALSE,TRUE,20070320,kathy
157,NSAIDs effective in prostate cancer cells in vivo,"Exisulind, a sulfone metabolite of sulindac inhibited PC in vivo.",AR00126,AR00126,0,DS25,MO96,,CT2,Kathy,2,0,FALSE,TRUE,FALSE,20070320,kathy
159,Alpha-tocopherol enhances effect of NSAID in colon ca cells,TOS greatly enhances exisulind-induced growth suppression and apoptosis in the human colon cancer cell lines.,AR00127,AR00127,0,DS3,MO96,,CT2,Kathy,1,0,FALSE,TRUE,FALSE,20070320,kathy
161,Carotenoid mix helps lower incidence of liver ca in chronic hepatitis,Patients with chronic hep treated with carotenoids had lower incidence of HCC.,AR00128,AR00128,0,DS22,MO99,,CT2,Kathy,0,0,TRUE,FALSE,FALSE,20070320,kathy
166,Vit K2 analogue effects recurrence and OS in HCC,"32 pts free of HCC after surgery or ablation treated with menatetrenone 45mg po QD (Vit K2 analogue). Lower recurrence rates, survival rates.",AR00131,AR00131,0,DS22,MO100,,CT2,Kathy,1,0,TRUE,FALSE,FALSE,20070320,kathy
167,Vit K2 enhances effect of Gleevec in SCLC cells,Combined treatment of Gleevec plus VK2 resulted in pronounced inhibition of cell growth in SCLC in vitro.,AR00132,AR00132,0,DS37,MO100,,CT2,Kathy,1,0,FALSE,FALSE,TRUE,20070320,kathy
168,Vits C and K3 enhance effect of gemcitabine on bladder ca cells,Vitamins C plus K3 induced cytostasis and caused apoptosis to a greater degree than either vitamin alone in bladder ca in vivo and enhanced the effect of gemcitabine.,AR00133,AR00133,0,DS41,MO101,,CT2,Kathy,1,0,FALSE,TRUE,FALSE,20070320,kathy
169,Vits C and K3 enhance effect of gemcitabine on bladder ca cells,Vitamins C plus K3 induced cytostasis and caused apoptosis to a greater degree than either vitamin alone in bladder ca in vivo and enhanced the effect of gemcitabine.,AR00133,AR00133,0,DS41,MO102,,CT2,Kathy,1,0,FALSE,TRUE,FALSE,20070320,kathy
171,Antibody-linked nanoparticles/thermal therapy in BC,Antibody-linked iron oxide nanoparticles used to develop tumor specific thermal therapy for metastatic BC in mice when inductively heated by an externally applied alternating magnetic field resulted in delay of tumor growth.,AR00136,AR00136,0,DS85,MO103,,CT2,Kathy,1,0,FALSE,TRUE,FALSE,20070320,kathy
178,Meta-analysis of studies with Astralagus and platinum based chemo in NSCLC,"Twelve studies (940 pts) reported reduced risk of death at 12 months and thirty studies (2,472 pts) reported improved tumor response with Astralagus plus platinum-based chemo vs chemo alone.",AR00141,AR00141,0,DS12,MO106,,CT2,Kathy,0,0,FALSE,FALSE,FALSE,20070321,kathy
179,Meta-analysis of studies with Chinese herbs plus chemo in HCC,"26 studies, 2079 pts with HCC treated with Chinese herbal medicine combined with chemotherapy vs chemotherapy alone showed improved survival.",AR00142,AR00142,0,DS22,MO106,,CT2,Kathy,0,0,FALSE,FALSE,FALSE,20070321,kathy
191,Statins in localized prostate cancer,"938  patients with early-stage PC treated with XRT. Statin users had lower PSA values, percent positive biopsies, and prostate volume.",AR00153,AR00153,0,DS25,MO112,,CT2,Kathy,1,0,TRUE,FALSE,FALSE,20070323,kathy
192,Statin drugs lowers risk of advanced prostate cancer.,"Statin use associated with lower risk of advanced, metastatic and fatal PC.",AR00154,AR00154,0,DS25,MO112,,CT2,Kathy,1,0,TRUE,FALSE,FALSE,20070323,kathy
197,Pomegranate juice affects prostate cancer,"Phase II study with recurrent PC.
8oz pomegranate juice QD until progression of disease.
Effect on PSA,cell proliferation,apoptosis.",AR00159,AR00159,0,DS25,MO126,,CT2,Kathy,1,0,TRUE,FALSE,FALSE,20070327,kathy
214,Ibuprofen superior NSAID for inhibiting tumor growth,Ibuprofen significantly more effective against PC in vitro than  other nonprescription NSAIDs.,AR00176,AR00176,0,DS25,MO96,,CT2,Kathy,1,0,FALSE,FALSE,TRUE,20070327,kathy
2247,Combo Rx for prostate ca,"Animals with hormone-dependent tumors rx'd with 2-ME alone, androgen deprivation alone, or combo had a 3.1-fold, 5.3-fold, and 10.1-fold increase in apoptosis, respectively.",AR00177,AR00177,0,DS25,MO357,,,Kathy,1,0,FALSE,TRUE,FALSE,20080909,kathy
217,Fermented wheat germ extract (MSC) inhibits mets in colorectal ca,"Phase II study with 18 pts in control grp: surgery +/- chemo.  12 pts in treated grp receiving oral MSC +/- chemo.  In 9 mths treated grp had no mets, control grp had several.",AR00179,AR00179,0,DS3,MO141,,CT2,Kathy,1,0,TRUE,FALSE,FALSE,20070327,kathy
218,Genistein potentiates XRT in PC,Genistein can augment the effect of neutrons at doses approximately 2-fold lower than photon doses required to observe the same efficacy in vitro.,AR00180,AR00180,0,DS25,MO72,,CT2,Kathy,1,0,FALSE,FALSE,TRUE,20070328,kathy
223,NSAIDs reduce risk of PC,Regular daily use of NSAIDs associated with reduction in prostate cancer risk.,AR00185,AR00185,0,DS25,MO96,,CT2,Kathy,1,0,FALSE,FALSE,FALSE,20070329,kathy
2249,2ME affects HRPC,"33 men with HRPC, phase II randomized, double-blind trial: 
2-methoxyestradiol (400 or 1,200 mg/d) given in 4-wk cycles. 
PSA declined 21% - 40% in 7 pts (1,200 mg grp) and in 1 pt in the 400 mg grp. 
1200 mg grp: sig dec PSA velocity and longer time to P",AR00191,AR00191,0,DS25,MO357,,,Kathy,1,0,TRUE,FALSE,FALSE,20080909,kathy
234,Relationships of calcium and fructose on risk of PC,"Study of 47,781 men. High dietary calcium related to advanced and metastatic PC, fructose intake decreased risk of PC. 
",AR00192,AR00192,0,DS25,MO149,,CT2,Kathy,1,0,TRUE,FALSE,FALSE,20070410,kathy
235,Relationships of calcium and fructose on risk of PC,"Study of 47,781 men. High dietary calcium related to advanced and metastatic PC, fructose intake decreased risk of PC. 

",AR00192,AR00192,0,DS25,MO148,,CT2,Kathy,-1,0,TRUE,FALSE,FALSE,20070410,kathy
237,Noscapine effective in PC,Noscapine 300mg/kg QD in vivo reduced tumor volume and slowed mets.,AR00194,AR00194,0,DS25,MO143,,CT2,Kathy,1,0,FALSE,TRUE,FALSE,20070413,kathy
244,Bupropion and dermatitis,"10 subjects with atopic dermatitis and 10 with psoriasis treated with bupropion 150 mg/day and 300 mg/day, sequentially for 3 weeks each.50%response.",AR00200,AR00200,0,DS101,MO151,,CT15,Kathy,1,0,TRUE,FALSE,FALSE,20070416,kathy
246,bupropion and Crohn's,abstract not available online.  will obtain from library.,AR00202,AR00202,0,DS62,MO151,,CT8,Kathy,0,0,FALSE,FALSE,FALSE,20070416,kathy
247,Remission of Crohn's disease on bupropion.,abstract not available.  will obtain from library.,AR00203,AR00203,0,DS62,MO151,,CT8,Kathy,0,0,FALSE,FALSE,FALSE,20070416,kathy
259,Disulfiram and cataracts,DSF eye drops effectively prevent the development of selenite-induced cataracts.,AR00213,AR00213,0,DS105,MO152,,CT17,Kathy,1,0,FALSE,TRUE,FALSE,20070416,kathy
271,Disufiram as anti-HIV,"Disulfiram inhibits HIV-1 replication possibly by ejecting zinc from the virus,important in multiple stages of the viral replication cycle.",AR00222,AR00222,0,DS104,MO152,,CT16,Kathy,1,0,FALSE,FALSE,TRUE,20070418,kathy
2252,Use Epo only if anemic,Comment article:  erythropoietin should only be used in cancer patients who are anemic and not prophylactically. Question of whether it contributes to lower survival time.,AR00226,AR00226,0,DS85,MO307,,,Kathy,0,0,FALSE,FALSE,FALSE,20080909,kathy
2245,Epoetin worsens PFS,"Multicentre, double-blind, randomized, placebo-controlled trial: 351 pts with H&N ca s/p XRT, surgery. 
Rx'd with epoetin beta 300 IU/kg tiw from 10-14d before and continuing throughout XRT. 
82% rx'd pts achieved Hgb > 140 g/L (women) or 150 g/L (men) co",AR00227,AR00227,0,DS102,MO307,,,Kathy,-1,0,TRUE,FALSE,FALSE,20080908,kathy
2244,Liminal therapy destroys tumors.,Liminal therapy destroys tumors.,AR00228,AR00228,0,DS102,MO360,,0,Kathy,-2,0,FALSE,FALSE,FALSE,20080908,kathy
272,Phenothiazines as cancer treatment,"Phenothiazines, particularly promethazine,triggers coagulative necrosis followed by apoptosis.
Dose:  50mg po day 1 followed by 25mg tid x 3 mths.
Should be taken with selenium, copper, zince, manganese and fish oil.",AR00229,AR00229,0,DS102,MO153,,CT2,Kathy,1,0,FALSE,TRUE,FALSE,20070422,kathy
297,Imuthiol and HIV,"83 pts with HIV infection randomised in a crossover trial of Imuthiol 10 mg/kg PO qweek vs placebo x 16wks. 0 pts progressed to AIDS vs. 4 in control grp.Imuthiol grp had greater relief of constitutional symptoms, improvement in clinical status and improv",AR00242,AR00242,0,DS104,MO73,,CT16,Kathy,1,0,TRUE,FALSE,FALSE,20070429,kathy
