id,title,abstract,publicationId,volume,issue,pages,year,month,location,citation,uploadedDate,enteredDate,enteredBy,pubMedId
AR00009,Low Dose Naltrexone Improves Active Crohn's Disease,"OBJECTIVES: Endogenous opioids and opioid antagonists have been shown to play a role in healing and repair of tissues. In an open-labeled pilot prospective trial, the safety and efficacy of low-dose naltrexone (LDN), an opioid antagonist, were tested in p",1,,,,2007,,Low_Dose_Naltrexone_Therapy_Improves_Active_Crohn's_Disease__-_American_Journal_of_Gastroenterology_2007.pdf,,20070221,20070221,moshe,
AR00335,"Beneficial effects of tumor necrosis factor-alpha inhibition by pentoxifylline on clinical, biochemical, and metabolic parameters of patients with nonalcoholic steatohepatitis","BACKGROUND: Tumor necrosis factor-alpha (TNF-alpha) has been incriminated to play an important role in the pathogenesis of nonalcoholic steatohepatitis (NASH). Pentoxifylline, a TNF-alpha inhibitor could prove useful in treating patients with NASH. METHOD",1,99,10,1946-52,2004,10,,"Satapathy SK, Garg S, Chauhan R, Sakhuja P, Malhotra V, Sharma BC, Sarin SK.Beneficial effects of tumor necrosis factor-alpha inhibition by pentoxifylline on clinical, biochemical, and metabolic parameters of patients with nonalcoholic steatohepatitis.Am ",,20070628,kathy,15447754
AR00421,Effect of ecabet sodium enema on mildly to moderately active ulcerative proctosigmoiditis: an open-label study.,"OBJECTIVES: Ecabet sodium (ES), a nonabsorbable antigastric ulcer agent, has been shown to adhere to the region of an ulcer. It topically enhances gastric mucosal defensive factors such as the endogenous prostaglandins, capsaicin-sensitive sensory nerves,",1,96,3,793-7,2001,3,AR-20070716-31772.pdf,"Kono T, Nomura M, Kasai S, Kohgo Y. Effect of ecabet sodium enema on mildly to moderately active ulcerative proctosigmoiditis: an open-label study. Am J Gastroenterol. 2001 Mar;96(3):793-7.",20070716,20070716,kathy,11280553
AR00432,A randomized double-blind placebo-controlled trial of rifaximin in patients with abdominal bloating and flatulence.,"AIMS: To study the efficacy of rifaximin, a nonabsorbable antibiotic, in relieving chronic functional symptoms of bloating and flatulence. METHODS: Randomized double-blind placebo-controlled trial consisting of three 10-day phases: baseline (phase 1), tre",1,101,2,326-33,2006,2,,"Sharara AI, Aoun E, Abdul-Baki H, Mounzer R, Sidani S, Elhajj I. A randomized double-blind placebo-controlled trial of rifaximin in patients with abdominal bloating and flatulence. Am J Gastroenterol. 2006 Feb;101(2):326-33.",,20070723,kathy,16454838
AR00449,Effect of ecabet sodium enema on mildly to moderately active ulcerative proctosigmoiditis: an open-label study.,"OBJECTIVES: Ecabet sodium (ES), a nonabsorbable antigastric ulcer agent, has been shown to adhere to the region of an ulcer. It topically enhances gastric mucosal defensive factors such as the endogenous prostaglandins, capsaicin-sensitive sensory nerves,",1,96,3,793-7,2001,3,AR-20070731-12367.pdf,"Kono T, Nomura M, Kasai S, Kohgo Y. Effect of ecabet sodium enema on mildly to moderately active ulcerative proctosigmoiditis: an open-label study.  Am J Gastroenterol. 2001 Mar;96(3):793-7.",20070731,20070731,kathy,11280553
AR00496,Stricture related to an inlet patch of the esophagus.,"A 64-yr-old female was referred for evaluation of dysphagia. An esophagram showed a stricture in the proximal esophagus. On esophagogastroduodenoscopy, the patient was found to have a 3-cm stricture beginning at 14 cm from the incisors. This was initially",1,88,2,275-6,1993,2,,"Yarborough CS, McLane RC.  Stricture related to an inlet patch of the esophagus. Am J Gastroenterol. 1993 Feb;88(2):275-6.",,20070820,kathy,8424433
AR00794,A prospective randomized placebo-controlled double-blinded pilot study of misoprostol rectal suppositories in the prevention of acute and chronic radiation proctitis symptoms in prostate cancer patients.,OBJECTIVE: Radiation proctitis is a known complication of radiation therapy for prostate cancer. Available medical treatment is usually ineffective and has focused on relieving symptoms after damage has occurred. Our study aimed at evaluating the use of m,1,95,8,1961-6,2000,8,,"Khan AM, Birk JW, Anderson JC, Georgsson M, Park TL, Smith CJ, Comer GM. A prospective randomized placebo-controlled double-blinded pilot study of misoprostol rectal suppositories in the prevention of acute and chronic radiation proctitis symptoms in pros",,20071104,kathy,10950043
AR00010,Effects of homeopathic preparations on human prostate cancer growth in cellular and animal models.,"The use of dietary supplements for various ailments enjoys unprecedented popularity. As part of this trend, Sabal serrulata (saw palmetto) constitutes the complementary treatment of choice with regard to prostate health. In homeopathy, Sabal serrulata is ",PB1,5,4,362-372,2006,12,,"Integrative Cancer Therapies, 2006 Dec, 5(4), pp 362-372.",,20070222,kathy,17101766
AR00142,Chinese herbal medicine and chemotherapy in the treatment of hepatocellular carcinoma: a meta-analysis of randomized controlled trials,"BACKGROUND: Hepatocellular carcinoma (HCC), one of the most common malignancies worldwide, is highly resistant to standard therapy. It is unclear whether chemotherapy, arterial embolization, or arterial chemoembolization improve survival advantage enough ",PB1,4,3,219-29,2005,9,219.pdf,Integr Cancer Ther. 2005 Sep;4(3):219-29,20070321,20070321,kathy,16113029
AR00917,Effect of amentoflavone on the inhibition of pulmonary metastasis induced by B16F-10 melanoma cells in C57BL/6 mice,This study was an investigation of the antimetastatic activity of amentoflavone using B16F-10 melanoma-induced experimental lung metastasis in C57BL/6 mice. Amentoflavone treatment significantly reduced tumor nodule formation accompanied by reduced lung c,PB1,6,2,185-97,2007,6,AR-20071201-48203.pdf,"Guruvayoorappan C, Kuttan G.Effect of amentoflavone on the inhibition of pulmonary metastasis induced by B16F-10 melanoma cells in C57BL/6 mice.Integr Cancer Ther. 2007 Jun;6(2):185-97.",20071201,20071201,kathy,17548797
AR00919,Targeting angiogenesis with integrative cancer therapies.,An integrative approach for managing a patient with cancer should target the multiple biochemical and physiological pathways that support tumor development while minimizing normal tissue toxicity. Angiogenesis is a key process in the promotion of cancer. ,PB1,5,1,9-29,2006,3,AR-20071201-50113.pdf,"Yance DR Jr, Sagar SM.Targeting angiogenesis with integrative cancer therapies. Integr Cancer Ther. 2006 Mar;5(1):9-29.",20071201,20071201,kathy,
AR00920,Multiple dietary antioxidants enhance the efficacy of standard and experimental cancer therapies and decrease their toxicity.,"Cancer patients can be divided into 3 groups: those receiving standard or experimental therapy, those who have become unresponsive to these therapies, and those in remission at risk for recurrence or a second new cancer. While impressive progress in stand",PB1,3,4,310-22,2004,12,AR-20071201-50280.pdf,Prasad KN.Multiple dietary antioxidants enhance the efficacy of standard and experimental cancer therapies and decrease their toxicity. Integr Cancer Ther. 2004 Dec;3(4):310-22.,20071201,20071201,kathy,15523102
AR00921,Should patients undergoing chemotherapy and radiotherapy be prescribed antioxidants?,"In September 2005, CA: A Cancer Journal for Clinicians published a warning by Gabriella D'Andrea, MD, against the concurrent use of antioxidants with radiotherapy and chemotherapy. However, several deficiencies of the CA article soon became apparent, not ",PB1,5,1,63-82,2006,3,AR-20071201-50644.pdf,Moss RW.Should patients undergoing chemotherapy and radiotherapy be prescribed antioxidants? Integr Cancer Ther. 2006 Mar;5(1):63-82.,20071201,20071201,kathy,16484715
AR00923,Toward a core nutraceutical program for cancer management.,"As previously suggested, it may be feasible to impede tumorevoked angiogenesis with a nutraceutical program composed of glycine, fish oil, epigallocatechin-3-gallate, selenium, and silymarin, complemented by a low-fat vegan diet, exercise training, and, i",PB1,5,2,150-71,2006,6,AR-20071201-51885.pdf,"McCarty MF, Block KI.Toward a core nutraceutical program for cancer management. Integr Cancer Ther. 2006 Jun;5(2):150-71.",20071201,20071201,kathy,16685077
AR00925,"Preadministration of high-dose salicylates, suppressors of NF-kappaB activation, may increase the chemosensitivity of many cancers: an example of proapoptotic signal modulation therapy.","NF-kappaB activity is elevated in a high proportion of cancers, particularly advanced cancers that have been treated previously. Cytotoxic treatment selects for such up-regulation inasmuch as NF-kappaB promotes transcription of a large number of proteins ",PB1,5,3,252-68,2006,9,AR-20071201-52374.pdf,"McCarty MF, Block KI.Preadministration of high-dose salicylates, suppressors of NF-kappaB activation, may increase the chemosensitivity of many cancers: an example of proapoptotic signal modulation therapy. Integr Cancer Ther. 2006 Sep;5(3):252-68.",20071201,20071201,kathy,16880431
AR00926,Circadian timing in cancer treatment: the biological foundation for an integrative approach.,"Despite the many innovations that have occurred in cancer treatment, the age-specific mortality for most adult tumors has remained stable during the past 30 years. There have been clinically significant improvements in the outcomes of young and middle-age",PB1,2,2,105-11,2003,6,AR-20071201-52536.pdf,"Lis CG, Grutsch JF, Wood P, You M, Rich I, Hrushesky WJ.Circadian timing in cancer treatment: the biological foundation for an integrative approach. Integr Cancer Ther. 2003 Jun;2(2):105-11.",20071201,20071201,kathy,15035897
AR00927,Coenzyme q10 for prevention of anthracycline-induced cardiotoxicity.,Preclinical and clinical studies suggest that anthracycline-induced cardiotoxicity can be prevented by administering coenzyme Q10 during cancer chemotherapy that includes drugs such as doxorubicin and daunorubicin. Studies further suggest that coenzyme Q1,PB1,4,2,110-30,2005,6,AR-20071201-52779.pdf,Conklin KA.Coenzyme q10 for prevention of anthracycline-induced cardiotoxicity. Integr Cancer Ther. 2005 Jun;4(2):110-30.,20071201,20071201,kathy,15911925
AR00928,Protective effect of Andrographis paniculata and andrographolide on cyclophosphamide-induced urothelial toxicity.,The protective effect of Andrograhis paniculata and andrographolide (ANDLE) against cyclophosphamide (CTX)-induced urothelial toxicity was investigated in this study. Pretreatment of Swiss albino mice with A paniculata extract (10 mg/dose/animal intraperi,PB1,5,3,244-51,2006,9,AR-20071201-53065.pdf,"Sheeja K, Kuttan G.Protective effect of Andrographis paniculata and andrographolide on cyclophosphamide-induced urothelial toxicity. Integr Cancer Ther. 2006 Sep;5(3):244-51.",20071201,20071201,kathy,16880430
AR00930,Dietary antioxidants and human cancer.,"Epidemiological studies show that a high intake of anti-oxidant-rich foods is inversely related to cancer risk. While animal and cell cultures confirm the anticancer effects of antioxidants, intervention trials to determine their ability to reduce cancer ",PB1,3,4,333-41,2004,12,AR-20071202-3535.pdf,Borek C.Dietary antioxidants and human cancer.Integr Cancer Ther. 2004 Dec;3(4):333-41.,20071202,20071202,kathy,15523104
AR00932,A critical review of complementary therapies for cancer-related fatigue.,"PURPOSE: To review the available literature on the use of complementary and alternative medicine (CAM) treatments for cancer-related fatigue with an aim to develop directions for future research. METHODS: PubMed, EMBASE, CINAHL, PsycINFO, and SPORTDiscus ",PB1,6,1,8-13,2007,3,AR-20071202-5117.pdf,"Sood A, Barton DL, Bauer BA, Loprinzi CL.A critical review of complementary therapies for cancer-related fatigue. Integr Cancer Ther. 2007 Mar;6(1):8-13.",20071202,20071202,kathy,17351022
AR00936,The effects of green tea consumption on incidence of breast cancer and recurrence of breast cancer: a systematic review and meta-analysis.,BACKGROUND: Green tea is widely used by women for the prevention and treatment of breast cancer. The authors aimed to determine the efficacy of green tea ingestion on the risk of breast cancer development and the risk of breast cancer recurrence. METHODS:,PB1,4,2,144-55,2005,6,AR-20071202-7433.pdf,"Seely D, Mills EJ, Wu P, Verma S, Guyatt GH.The effects of green tea consumption on incidence of breast cancer and recurrence of breast cancer: a systematic review and meta-analysis. Integr Cancer Ther. 2005 Jun;4(2):144-55.",20071202,20071202,kathy,15911927
AR00939,Controlling hyperglycemia as an adjunct to cancer therapy,"Hyperglycemia is commonly manifested in cancer patients. Although high intakes of sugar and refined carbohydrates and elevated blood glucose are strongly associated with the risk of cancer, much less is known about their effects on survival after cancer d",PB1,4,1,25-31,2005,3,AR-20071202-8472.pdf,"Krone CA, Ely JT.Controlling hyperglycemia as an adjunct to cancer therapy. Integr Cancer Ther. 2005 Mar;4(1):25-31.",20071202,20071202,kathy,15695475
AR00942,"Nutritional and botanical modulation of the inflammatory cascade--eicosanoids, cyclooxygenases, and lipoxygenases--as an adjunct in cancer therapy.","Emerging on the horizon in cancer therapy is an expansion of the scope of treatment beyond cytotoxic approaches to include molecular management of cancer physiopathology. The goal in these integrative approaches, which extends beyond eradicating the affec",PB1,1,1,7-37,2002,3,AR-20071202-10658.pdf,"Wallace JM.Nutritional and botanical modulation of the inflammatory cascade--eicosanoids, cyclooxygenases, and lipoxygenases--as an adjunct in cancer therapy. Integr Cancer Ther. 2002 Mar;1(1):7-37; discussion 37.",20071202,20071202,kathy, 14664746
AR00943,The long-term survival of a patient with pancreatic cancer with metastases to the liver after treatment with the intravenous alpha-lipoic acid/low-dose naltrexone protocol.,The authors describe the long-term survival of a patient with pancreatic cancer without any toxic adverse effects. The treatment regimen includes the intravenous alpha-lipoic acid and low-dose naltrexone (ALA-N) protocol and a healthy lifestyle program. T,PB1,5,1,83-9,2006,3,AR-20071202-11012.pdf,"Berkson BM, Rubin DM, Berkson AJ.The long-term survival of a patient with pancreatic cancer with metastases to the liver after treatment with the intravenous alpha-lipoic acid/low-dose naltrexone protocol.Integr Cancer Ther. 2006 Mar;5(1):83-9.",20071202,20071202,kathy,16484716
