id,title,abstract,publicationId,volume,issue,pages,year,month,location,citation,uploadedDate,enteredDate,enteredBy,pubMedId
AR00058,PCA3Plus test for prostate cancer,"Bostwick Laboratories, Inc., a pathology reference lab in the US and UK has developed a test, PCA3Plus which is a urine test detecting shed prostate cells expressing the gene PCA3 that correlates with a high risk of developing prostate cancer.  The test h",0,,,,,,,,,20070307,kathy,
AR00194,Noscapine effective in PC,Noscapine treatment of 300mg/Kg/d administered to PC 3 human prostate cancer-bearing immunodeficient mice revealed a significant reduction of tumor volume and a tumor inhibition rate of 60% with no identifiable toxicity. Treatment resulted in a slow incid,0,,,,2007,2,,"17th Intl Prostate Ca Update Mtg, Vail, Col;Feb 15, 2007.",,20070413,kathy,
AR00195,Evidence of a mechanism by which etanercept increased TNF-alpha in multiple myeloma: new insights into the biology of TNF-alpha giving new treatment opportunities--the role of bupropion.,"Etanercept is a commercially available pharmaceutical protein approved for treatment of rheumatoid arthritis, RA. Given subcutaneously, etanercept binds and inactivates soluble tumor necrosis factor-alpha, TNF. Etanercept has a good safety record and is o",0,29,12,1459-63,2005,12,,Leuk Res. 2005 Dec;29(12):1459-63. Epub 2005 Jun 17.,,20070415,kathy,15964626 
AR00250,Clinical influence of imuthiol (sodium ditiocarb) in HIV-infected patients: a review of 4 controlled studies and long-term influence.,"Between November 1983 and December 1988, more than 2,100 HIV-infected patients have been enrolled in double-blind, placebo controlled studies of Imuthiol (sodium ditiocarb, DTC). To date, results from three controlled studies in 170 ARC patients are avail",0,5,402,,1989,6,,Int Conf AIDS. 1989 Jun 4-9; 5: 402 (abstract no. W.B.P.301). ,,20070430,kathy,
AR00268,Use of disulfiram to prevent cardiovascular damage,"A method is disclosed for reducing cardiovascular damage caused by hypoxic or ischemic events such as heart attack and cardiac arrest. This method involves the administration of disulfiram, or a suitable salt or analog of disulfiram, to a mammal in need o",0,,,,,,Disulfiram_and_cardiac_damage.doc,http://www.freepatentsonline.com/5206264.html,20070503,20070503,kathy,
AR00293,Effect of protective agents against cisplatin ototoxicity,HYPOTHESIS: The goals of this investigation were to compare the efficacy of three protective agents against cisplatin-induced elevation of auditory brainstem response (ABR) thresholds and to examine whether these protective agents prevent cisplatin-induce,0,,,,,,,Am J Otol. 2000 Jul;21(4):513-20.,,20070520,kathy,10912697 
AR00319,Antidepressants and antiepileptic drugs for chronic non-cancer pain.,The development of newer classes of antidepressants and second-generation antiepileptic drugs has created unprecedented opportunities for the treatment of chronic pain. These drugs modulate pain transmission by interacting with specific neurotransmitters ,0,,,,,,,Am Fam Physician. 2005 Feb 1;71(3):483-90.,,20070621,kathy,15712623
AR00643,"Cardiac glycosides stimulate Ca2+ increases and apoptosis in androgen-independent, metastatic human prostate adenocarcinoma cells.","Cardiac glycosides are used clinically to increase contractile force in patients with cardiac disorders. Their mechanism of action is well established and involves inhibition of the plasma membrane Na+/K+-ATPase, leading to alterations in intracellular K+",0,60,14,3807-12,2000,7,AR-20070920-29707.pdf,"McConkey DJ, Lin Y, Nutt LK, Ozel HZ, Newman RA.  Cardiac glycosides stimulate Ca2+ increases and apoptosis in androgen-independent, metastatic human prostate adenocarcinoma cells. Cancer Res. 2000 Jul 15;60(14):3807-12. ",20070920,20070920,kathy,10919654
AR00657,Neuroprotection by minocycline facilitates significant recovery from spinal cord injury in mice.,"Acute spinal cord injury (SCI) produces tissue damage that continues to evolve days and weeks after the initial insult, with corresponding functional impairments. Reducing the extent of progressive tissue loss ('neuroprotection') following SCI should resu",0,126,Pt 7,1628-37,2003,7,AR-20071008-19755.pdf,"Wells JE, Hurlbert RJ, Fehlings MG, Yong VW. Neuroprotection by minocycline facilitates significant recovery from spinal cord injury in mice. Brain. 2003 Jul;126(Pt 7):1628-37.",20071008,20071008,kathy,12805103 
AR00687,The determination of additive effect and intraocular pressure lowering effects of 0.05% bromocriptine and 0.25% timolol.,It has been confirmed that topically applied bromocriptine has a satisfactory intraocular pressure (IOP) lowering effect without serious ocular or systemic side effects. We compared the IOP lowering effects of 0.05% bromocriptine and 0.25% timolol and det,0,,,,,,,"Elibol O, G&#252;ler C, Arici K, Topalkara A, Demircan S. The determination of additive effect and intraocular pressure lowering effects of 0.05% bromocriptine and 0.25% timolol. Int Ophthalmol. 1996-1997;20(1-3):53-5.",,20071015,kathy,9112164 
AR00692,Neuroleptic malignant syndrome and bromocriptine,Bromocriptine used to treat neuroleptic malignant syndrome: PO or by NG tube starting with 2.5 mg tid and increasing q 24 h by 2.5 mg tid until a response is seen or until a max dose of 60 mg is achieved.,0,,,,,,,"Canadian Movement Disorder Group, Neuroleptic malignant syndrome, http://www.cmdg.org/Movement_/drug/Neuroleptic_Malignant_Syndrome/neuroleptic_malignant_syndrome.htm",,20071015,kathy,
AR00747,Bromocriptine reduces lipid peroxidation and enhances spatial learning and hippocampal neuron survival in a rodent model of focal brain trauma.,"Oxidative stress is a significant contributor to the secondary sequelae of traumatic brain injury (TBI), and may mediate subsequent neurobehavioral deficits and histopathology. The present study examined the neuroprotective effects of bromocriptine (BRO),",0,,,,,,,"Kline AE, Massucci JL, Ma X, Zafonte RD, Dixon CE. Bromocriptine reduces lipid peroxidation and enhances spatial learning and hippocampal neuron survival in a rodent model of focal brain trauma. J Neurotrauma. 2004 Dec;21(12):1712-22.",,20071016,kathy,15684763 
AR01022,People with diabetes and sickle cell trait should have reliable A1C,"A new information campaign of the National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK), part of the National Institutes of Health, highlights the importance of using accurate methods to test hemoglobin A1c in people with diabetes who h",0,,,,2007,11,,"NIH News Release, olib@OD.NIH.GOV, Wednesday, November 28, 2007.",,20071208,kathy,
AR01107,Low dose oral interferon-&#945; reduces morbidity and promotes recovery from influenza infection.,"Summary. Type I interferons (IFNs) are potent immunomodulatory molecules that mediate innate anti-viral and anti-tumour responses and are approved for clinical use to treat a variety of diseases, including hepatitis and melanoma. These clinical therapies ",0,,,,,,AR-20080106-29643.pdf,"Damian Carragher, Louise Hartson, Javier Rangel-Moreno and Troy D. Randall. Low dose oral interferon-&#945; reduces morbidity and promotes recovery from influenza infection. Trudeau Institute, Saranac Lake, NY.",,20080106,kathy,
AR01109,Lo dose IFN and influenza,No abstract. See comment.,0,,,,2007,,,"Planz O.  Friedrich Loeffler Institute, Germany. 2007.",,20080106,kathy,
AR01160,"Phase 2B randomized dose-ranging clinical trial of tamoxifen, a non-steroidal tri-phenyl-ethylene selective estrogen receptor modulator [SERM], in amyotrophic lateral sclerosis [ALS]: increased survival in 20-30-40mg daily compared with 10mg weekly-10mg d",Article,0,,,,2005,4,,"Brooks BR, Sanjak M, Roelke KA, et al. Phase 2B randomized dose-ranging clinical trial of tamoxifen, a non-steroidal tri-phenyl-ethylene selective estrogen receptor modulator [SERM], in amyotrophic lateral sclerosis [ALS]: increased survival in 20-30-40mg",,20080124,kathy,
AR01229,Retrovirus-induced Neurodegeneration: Synergistic Treatment Effect of Combination Therapy with Tamoxifen and AZT.,BACKGROUND: Amyotrophic lateral sclerosis (ALS) is a fatal neurodegenerative disease characterized by progressive paralysis for which approved treatments offer little hope. Seven (7) HIV-infected patients (pts) with an ALS-like disease responded to highly,0,,,,2003,2,,"Vann JM, Szurek PF, Brooks BR. Retrovirus-induced Neurodegeneration: Synergistic Treatment Effect of Combination Therapy with Tamoxifen and AZT. Abstr 10th Conf Retrovir Oppor Infect Feb 10 14 2003 Hynes Conv Cent Boston Mass USA Conf Retrovir Oppor Infec",,20080129,kathy,
AR01334,Imiquimod promotes regrowth in alopecia areata,"Imiquimod 5 percent cream (Aldara) appears to be an effective treatment for alopecia areata, although a local inflammatory response associated with its use may limit tolerability and patient compliance, dermatology researchers from St. Barnabas Hospital, ",0,,,,2001,10,,"Imiquimod promotes regrowth in alopecia areata. Dermatology Times.October 1, 2001  ",,20080221,kathy,
AR01375,Angiotensin converting enzyme inhibition prevents development of muscle and nerve dysfunction and stimulates angiogenesis in streptozotocin-diabetic rats.,"The effects of the angiotensin converting enzyme inhibitor lisinopril on slow and fast twitch muscle contractile properties, nerve conduction and hypoxic resistance, and muscle and nerve capillary density were examined in streptozotocin-diabetic rats. Pro",0,35,1,12-8,1992,1,,"Cameron NE, Cotter MA, Robertson S.Angiotensin converting enzyme inhibition prevents development of muscle and nerve dysfunction and stimulates angiogenesis in streptozotocin-diabetic rats. Diabetologia. 1992 Jan;35(1):12-8.",,20080311,kathy,1371757 
