id,name,enteredDate,enteredBy
CT1,Autoimmune,20070218,moshe
CT10,Endocrine,20070219,moshe
CT11,Neurologic,20070219,kathy
CT12,Cancer-Hematology,20070226,moshe
CT13,Toxicities,20070310,moshe
CT14,Hematology,20070416,kathy
CT15,Dermatology,20070416,kathy
CT16,Infectious Disease,20070416,kathy
CT17,Ophthamology,20070416,kathy
CT18,Psychiatric,20070521,kathy
CT19,Myopathy,20070702,kathy
CT2,Cancer,20070218,kathy
CT20,Oral/dental,20070703,kathy
CT21,Orthopedic,20070705,kathy
CT22,Gynecologic,20070705,kathy
CT23,Sensory,20070812,kathy
CT24,Genitourinary,20070812,kathy
CT26,Obstetric,20070909,kathy
CT27,Metabolic,20070910,kathy
CT28,ENT,20071104,kathy
CT29,Lymphatics,20071227,kathy
CT3,Rheumatologic,20070218,kathy
CT30,Nutrition,20080113,kathy
CT31,Miscellaneous,20080129,kathy
CT32,Allergy,20081109,kathy
CT4,Cardiac,20070219,kathy
CT5,Vascular,20070219,kathy
CT6,Respiratory,20070219,kathy
CT7,Renal,20070219,kathy
CT8,Gastrointestinal,20070219,kathy
CT9,Hepatobiliary,20070219,kathy
