id,name,enteredDate,enteredBy
PT1,VEGF,20070218,kathy
PT10,COX-2,20070222,kathy
PT100,p38,20070327,kathy
PT101,Prostaglandins,20070327,kathy
PT103,PTPase,20070329,kathy
PT105,Nickel,20070416,kathy
PT106,PaBADH,20070416,kathy
PT107,protein kinase C,20070416,kathy
PT109,glutathione,20070417,kathy
PT11,Survivin,20070222,kathy
PT110,topoisomerases,20070417,kathy
PT111,myeloperoxidase,20070422,kathy
PT112,Cdr1p (drug resistance),20070423,kathy
PT113,Copper,20070423,kathy
PT114,AP-1,20070423,kathy
PT115,ATP,20070423,kathy
PT116,T lymphocytes,20070429,kathy
PT117,proteasome,20070502,kathy
PT118,xanthine oxidase,20070503,kathy
PT119,Iron,20070503,kathy
PT12,Ras,20070222,kathy
PT121,lipid peroxidation,20070520,kathy
PT122,Zinc,20070520,kathy
PT123,dopamine transporter,20070521,kathy
PT124,norepinephrine transporter,20070521,kathy
PT125,VCAM-1,20070705,kathy
PT126,Phosphodiesterase,20070708,kathy
PT127,u-PA,20070709,kathy
PT128,IL 8,20070710,kathy
PT129,ICAM-1,20070710,kathy
PT13,MMPs,20070222,kathy
PT130,MCP-1,20070712,kathy
PT131,RANTES,20070712,kathy
PT132,OPN,20070712,kathy
PT133,ER beta,20070717,kathy
PT134,IL 18,20070717,kathy
PT135,PXR,20070725,kathy
PT136,Nitric oxide,20070731,kathy
PT137,GDNF,20070812,kathy
PT138,Endothelin-1,20070820,kathy
PT139,PCNA,20070820,kathy
PT14,APN,20070222,kathy
PT140,CDK2,20070820,kathy
PT141,RhoA,20070828,kathy
PT142,Ca(alpha 2)delta-1,20070828,kathy
PT143,alpha 2 delta,20070830,kathy
PT144,NMDA,20070830,kathy
PT145,Homocarnosine,20070830,kathy
PT146,ACE,20070905,kathy
PT147,h-prune,20070909,kathy
PT148,BCRP,20070909,kathy
PT149,thymidine,20070909,kathy
PT15,Tyrosine kinase,20070222,kathy
PT150,ROS,20070910,kathy
PT151,NO/cGMP,20070910,kathy
PT152,P-gp,20070910,kathy
PT153,MKP-1,20070910,kathy
PT154,ENT 1,20070910,kathy
PT155,ENT 2,20070910,kathy
PT156,Death receptor 4,20070920,kathy
PT157,Death receptor 5,20070920,kathy
PT158,Calcium,20070920,kathy
PT159,Na/K ATPase pump,20070920,kathy
PT16,FTase,20070222,kathy
PT160,Steroid hormones,20070920,kathy
PT161,Estrogen,20070920,kathy
PT162,Testosterone,20070920,kathy
PT163,Histamine,20070920,kathy
PT164,Glycolysis,20070920,kathy
PT165,hERG,20070920,kathy
PT166,I(kappa)Balpha,20070920,kathy
PT167,FGF-2,20070920,kathy
PT168,ED-1,20071008,kathy
PT169,IL-1beta,20071008,kathy
PT17,ER alpha,20070222,kathy
PT170,prolactin,20071014,kathy
PT171,CD8,20071016,kathy
PT172,B lymphocytes,20071016,kathy
PT173,PrRPR,20071017,kathy
PT174,c-fos,20071017,kathy
PT175,cAMP,20071017,kathy
PT176,adenyl cyclase,20071017,kathy
PT177,cGMP,20071017,kathy
PT178,EP3,20071104,kathy
PT179,EP2,20071104,kathy
